Kawacatoose,393,Saskatchewan,581,554,45,54,0,1,0,0,2,3,928,1004,3172
Canoe Lake Cree First Nation,394,Saskatchewan,531,497,31,32,0,0,0,0,0,0,666,647,2404
Flying Dust First Nation,395,Saskatchewan,269,251,20,36,0,0,0,0,0,0,365,431,1372
Makwa Sahgaiehcan First Nation,396,Saskatchewan,545,514,65,55,0,0,0,0,0,0,217,219,1615
Ministikwan Lake Cree Nation,397,Saskatchewan,447,475,60,77,0,0,0,0,2,0,123,129,1313
Buffalo River Dene Nation,398,Saskatchewan,390,374,24,20,0,0,0,0,0,0,306,307,1421
Big Island Lake Cree Nation,399,Saskatchewan,406,427,59,84,0,0,0,1,0,0,99,124,1200
English River First Nation,400,Saskatchewan,377,386,18,20,0,0,0,0,0,0,367,387,1555
Clearwater River Dene,401,Saskatchewan,458,443,18,20,0,0,0,0,3,3,586,563,2094
Waterhen Lake,402,Saskatchewan,427,431,60,50,0,0,0,0,0,2,489,553,2012
Birch Narrows First Nation,403,Saskatchewan,203,213,16,20,0,0,0,0,0,0,161,168,781
Big River,404,Saskatchewan,1209,1157,96,88,0,0,0,0,1,10,435,486,3482
Pelican Lake,405,Saskatchewan,563,494,100,88,0,0,0,0,1,1,208,187,1642
Ahtahkakoop,406,Saskatchewan,930,892,42,61,1,2,0,1,1,0,816,800,3546
Witchekan Lake,407,Saskatchewan,272,222,22,17,0,0,0,0,0,0,98,134,765
Ocean Man,408,Saskatchewan,76,58,26,27,0,0,0,0,0,0,160,182,529
Pheasant Rump Nakota,409,Saskatchewan,77,82,13,10,0,0,0,0,0,0,110,134,426
Siksika Nation,430,Alberta,2051,2005,91,99,1,1,2,0,3,2,1551,1625,7431
O'Chiese,431,Alberta,436,463,36,26,0,0,0,0,2,0,200,212,1375
Tsuut'ina Nation,432,Alberta,969,1022,44,78,1,0,0,0,1,0,73,117,2305
Chiniki,433,Alberta,783,764,23,29,0,0,1,0,0,0,71,84,1755
Sunchild First Nation,434,Alberta,414,389,49,55,0,0,0,0,0,0,221,241,1369
Blood,435,Alberta,4170,4130,109,101,1,0,0,0,0,2,1794,2010,12317
Piikani Nation,436,Alberta,1198,1208,19,18,0,0,0,0,0,0,614,687,3744
Alexis Nakota Sioux Nation,437,Alberta,600,545,33,38,0,0,1,0,0,1,400,394,2012
Alexander,438,Alberta,536,502,34,42,0,0,0,1,2,2,556,520,2195
Louis Bull,439,Alberta,813,757,102,141,5,3,0,1,0,1,222,245,2290
Enoch Cree Nation #440,440,Alberta,851,837,17,20,0,3,0,0,1,1,396,473,2599
Paul,441,Alberta,659,656,61,59,0,0,1,0,0,0,330,362,2128
Montana,442,Alberta,343,350,35,40,0,0,0,0,1,0,127,131,1027
Ermineskin Tribe,443,Alberta,1608,1565,139,183,5,5,0,1,49,45,511,555,4666
Samson,444,Alberta,3012,2941,232,273,1,3,3,0,3,2,1005,1028,8503
Beaver First Nation,445,Alberta,223,211,17,17,0,0,0,3,1,0,305,309,1086
Tallcree,446,Alberta,258,242,35,26,0,0,2,1,0,0,372,391,1327
Little Red River Cree Nation,447,Alberta,2190,2152,78,73,232,212,2,5,2,3,315,353,5617
Dene Tha',448,Alberta,1056,1001,30,23,3,2,0,1,0,1,421,530,3068
Horse Lake First Nation,449,Alberta,259,229,7,7,0,0,0,0,0,0,331,359,1192
Driftpile First Nation,450,Alberta,506,423,25,25,0,0,0,0,0,0,873,908,2760
Duncan's First Nation,451,Alberta,74,71,0,0,0,0,1,0,1,0,80,82,309
Kapawe'no First Nation,452,Alberta,71,59,2,5,0,0,0,0,0,0,116,126,379
Lubicon Lake,453,Alberta,50,43,29,18,116,110,5,13,0,0,137,124,645
Sawridge First Nation,454,Alberta,23,19,2,4,0,0,0,0,1,0,232,221,502
Sturgeon Lake Cree Nation,455,Alberta,753,722,23,18,1,0,0,1,0,0,833,962,3313
